time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.324622778168763e-08,1.1503829817624519e-07,10.002157979363112,0.00013092820149029905,6.282925704684995,0.0,1.3688357019984148e-05,1.0556305999142627e-05,0.07193018680547696,0.006223897012744381,-0.014807849253056785,0.0,429.9121623024033,428.65595017373516,426.2483020788055,426.77971961442165
0.12000000000000001,1.0747910237256703e-05,5.3237001441849344e-06,10.012193853966115,0.0002641001541299204,6.282111550345549,0.0,0.0004399395219336961,0.00019406644970341481,0.2625736984852853,-0.00731805211262106,-0.011200521318094622,0.0,464.59348675788834,464.8763073804119,465.3681196266215,464.3070739951721
0.18,6.24332869221493e-05,2.08027637089491e-05,10.031517762926478,6.282945367009567,6.280978310091744,0.0,0.0013690071155044753,0.0002725662644521746,0.38152360122913737,-0.010658963624633455,-0.04233884590348819,0.0,444.1653021364004,441.6045545605885,443.1743021535907,442.8997743457691
0.23999999999999996,0.00019793192021580564,3.034638946242499e-05,10.056872299871706,6.282670620276001,6.278882644168682,0.0,0.0033747924137307213,2.287077481560854e-06,0.4635966629316747,0.005425212353059525,-0.023170443415765768,0.0,430.7612496163498,432.37825423539306,430.4369095390669,431.7957790248771
0.3,0.0004919709877842868,2.120998009747576e-05,10.087279257822713,6.28287035776235,6.278109620039526,0.0,0.006529081201898172,-0.0002801882135844043,0.5499300114346739,-0.0012332897253872098,0.0022879220356156246,0.0,430.9923059688172,433.1383749480846,433.7819556968154,433.22247539040177
0.36000000000000004,0.0009725224634862914,-1.2936502205218274e-06,10.120233197150872,6.2829216740815035,6.2784384622525415,0.0,0.009468448065440274,-0.00047066149231103844,0.5485354138771792,0.004735783051637646,0.011204026584299785,0.0,403.4945824441739,404.2985096357616,403.38126765081824,403.91984167617426
0.4200000000000001,0.0016307965710237093,-3.373911007420227e-05,10.155017650047325,6.283021501193659,6.279235697429458,0.0,0.012402725332289817,-0.000591518807844561,0.610914966866011,-0.0053240241038490215,0.017158162449069904,0.0,424.60315576662896,425.1134736831917,425.82042095626076,424.959088406704
0.48000000000000015,0.0024566650781042178,-7.422087339230575e-05,10.195966498813842,6.282506307271367,6.280857187347399,0.0,0.014976791008266863,-0.0008020380749493595,0.7539632428044148,-0.01607492993143404,0.041726123560891906,0.0,449.7948367617934,451.7799615095065,451.16589657467864,450.2972801323489
0.5400000000000001,0.0033983926402891365,-0.0001422975573141146,10.246697853800887,6.281298828994846,0.00022072587836596824,0.0,0.01612509779097276,-0.0015893937016858636,0.9369499242778973,-0.029790992989360048,0.043948462086548415,0.0,463.2926426338413,463.4682235505498,463.3283419598575,462.2488969061507
0.6000000000000002,0.0043497102217871925,-0.00028866869944548304,10.308214594577718,6.2792879496498735,0.002685593409887943,0.0,0.01529568013625086,-0.0035030527707602655,1.1134518849972643,-0.042254810139539474,0.034623501979473906,0.0,462.2780196685001,461.54354772730295,461.4486225192203,460.4633628766691
0.6600000000000003,0.005199164543265964,-0.0005954450545711615,10.379523317136167,6.276920136085273,0.004273943574878203,0.0,0.012808780330123695,-0.006989750008376345,1.2633497707611394,-0.03439696563650597,0.0004295202873348808,0.0,454.6145459757994,451.8668313766261,453.8488877700979,454.4783004427406
0.7200000000000003,0.0058642136557065,-0.0011752068714361759,10.461777066103812,6.274637098686068,0.0045486160481731375,0.0,0.0093414708381482,-0.01259109847957278,1.4781872430116405,-0.04659609170538385,0.011798010819115416,0.0,473.5076721697363,474.38127687743884,473.5369012430992,472.5970156524397
0.7800000000000004,0.0063326819977471355,-0.002106767599091134,10.55224226658142,6.271934587629909,0.006064523930425558,0.0,0.006159696575876844,-0.018723797236258177,1.537238562411778,-0.042102570445016904,0.04371037186071233,0.0,425.3394639998914,428.0636697221274,424.9240615959305,425.3077848484323
0.8400000000000004,0.00653894451828853,-0.003521191125626638,10.651642927076066,6.269108762469191,0.009168506740284244,0.0,0.00036289681479266664,-0.0287442729461524,1.7757710168669036,-0.05964745108365825,0.06425590774343927,0.0,481.1247933225855,482.6791163564535,481.0027030746298,479.6710563736476
0.9000000000000005,0.006346555705898748,-0.005564366659312224,10.762200863369566,6.2649448072273906,0.012997460089156476,0.0,-0.007184720249794458,-0.03974971501068805,1.909269581032431,-0.1100701600080139,0.06292143513512416,0.0,451.00818810372624,450.90330908635895,452.06483540617916,447.97893770788414
0.9600000000000005,0.00561364890240432,-0.008378414040215516,10.881136802796496,6.2581566219112865,0.01654595847426421,0.0,-0.01764183933624725,-0.05477415998470389,2.054990088592895,-0.12010135055583988,0.05024699883322072,0.0,455.2670060442499,454.25416653403937,455.1239745446617,454.3093005458278
1.0200000000000005,0.0041705528688825615,-0.012257248259041434,11.009242906081216,6.25059064608714,0.019093540116232433,0.0,-0.030773984543026548,-0.0753265387873415,2.2148883386532296,-0.14212153716462256,0.018482224499370422,0.0,460.48767209254663,457.96899380052406,460.9265528480235,459.16882081569355
1.0800000000000005,0.0018949591397482031,-0.01753570897700079,11.146676106731878,6.242046318009729,0.02057582273157088,0.0,-0.04521771560839197,-0.10154659167633759,2.3658801786661647,-0.14297878194357944,0.03490171490116895,0.0,456.61206000172945,457.9200867309743,458.03060079388,457.9441782349118
1.1400000000000006,-0.0012873928125273811,-0.024582875022982575,11.293295974971976,6.233037894610458,0.023240833334509325,0.0,-0.06112123823774052,-0.1343058112814669,2.5210681487698627,-0.17096862433538004,0.05871638760680924,0.0,458.58103901975403,460.4697618936426,460.8416668957243,458.6028409127787
